x-axis,1,REF1
second,Volt,Volt
+486.270400E-06,+3.232286401093E+00,+3.187939628959E+00
+486.272000E-06,+3.232286401093E+00,+3.187939628959E+00
+486.273600E-06,+3.232286401093E+00,+3.187939628959E+00
+486.275200E-06,+3.232286401093E+00,+3.187939628959E+00
+486.276800E-06,+3.232286401093E+00,+3.187939628959E+00
+486.278400E-06,+3.232286401093E+00,+3.187939628959E+00
+486.280000E-06,+3.232286401093E+00,+3.188455026454E+00
+486.281600E-06,+3.232286401093E+00,+3.192578206412E+00
+486.283200E-06,+3.232286401093E+00,+3.196701386371E+00
+486.284800E-06,+3.232286401093E+00,+3.200824566329E+00
+486.286400E-06,+3.232286401093E+00,+3.204947746288E+00
+486.288000E-06,+3.232286401093E+00,+3.209070926246E+00
+486.289600E-06,+3.232286401093E+00,+3.213194106205E+00
+486.291200E-06,+3.232286401093E+00,+3.217317286163E+00
+486.292800E-06,+3.232286401093E+00,+3.221440466121E+00
+486.294400E-06,+3.232286401093E+00,+3.225563646080E+00
+486.296000E-06,+3.232286401093E+00,+3.229686826038E+00
+486.297600E-06,+3.232286401093E+00,+3.233810005997E+00
+486.299200E-06,+3.232286401093E+00,+3.237933185955E+00
+486.300800E-06,+3.232286401093E+00,+3.242056365914E+00
+486.302400E-06,+3.232286401093E+00,+3.246179545872E+00
+486.304000E-06,+3.232286401093E+00,+3.250302725830E+00
+486.305600E-06,+3.232286401093E+00,+3.254425905789E+00
+486.307200E-06,+3.232286401093E+00,+3.258549085747E+00
+486.308800E-06,+3.232286401093E+00,+3.262672265706E+00
+486.310400E-06,+3.232286401093E+00,+3.266795445664E+00
+486.312000E-06,+3.232286401093E+00,+3.268341638148E+00
+486.313600E-06,+3.232286401093E+00,+3.268341638148E+00
+486.315200E-06,+3.232286401093E+00,+3.268341638148E+00
+486.316800E-06,+3.232286401093E+00,+3.268341638148E+00
+486.318400E-06,+3.232286401093E+00,+3.268341638148E+00
+486.320000E-06,+3.232286401093E+00,+3.268341638148E+00
+486.321600E-06,+3.232286401093E+00,+3.268341638148E+00
+486.323200E-06,+3.232286401093E+00,+3.268341638148E+00
+486.324800E-06,+3.232286401093E+00,+3.268341638148E+00
+486.326400E-06,+3.232286401093E+00,+3.268341638148E+00
+486.328000E-06,+3.232286401093E+00,+3.268341638148E+00
+486.329600E-06,+3.232286401093E+00,+3.268341638148E+00
+486.331200E-06,+3.232286401093E+00,+3.268341638148E+00
+486.332800E-06,+3.232286401093E+00,+3.268341638148E+00
+486.334400E-06,+3.232286401093E+00,+3.268341638148E+00
+486.336000E-06,+3.232286401093E+00,+3.268341638148E+00
+486.337600E-06,+3.232286401093E+00,+3.268341638148E+00
+486.339200E-06,+3.232286401093E+00,+3.268341638148E+00
+486.340800E-06,+3.232286401093E+00,+3.268341638148E+00
+486.342400E-06,+3.232286401093E+00,+3.267826240652E+00
+486.344000E-06,+3.232286401093E+00,+3.263703060694E+00
+486.345600E-06,+3.232286401093E+00,+3.259579880735E+00
+486.347200E-06,+3.232286401093E+00,+3.255456700777E+00
+486.348800E-06,+3.232286401093E+00,+3.251333520818E+00
+486.350400E-06,+3.232286401093E+00,+3.247210340860E+00
+486.352000E-06,+3.232286401093E+00,+3.243087160902E+00
+486.353600E-06,+3.232286401093E+00,+3.238963980943E+00
+486.355200E-06,+3.292587908002E+00,+3.234840800985E+00
+486.356800E-06,+3.252386903373E+00,+3.230717621026E+00
+486.358400E-06,+3.232286401093E+00,+3.226594441068E+00
+486.360000E-06,+3.232286401093E+00,+3.222471261110E+00
+486.361600E-06,+3.232286401093E+00,+3.218348081151E+00
+486.363200E-06,+3.232286401093E+00,+3.214224901193E+00
+486.364800E-06,+3.232286401093E+00,+3.210101721234E+00
+486.366400E-06,+3.232286401093E+00,+3.205978541276E+00
+486.368000E-06,+3.232286401093E+00,+3.201855361317E+00
+486.369600E-06,+3.232286401093E+00,+3.197732181359E+00
+486.371200E-06,+3.232286401093E+00,+3.193609001401E+00
+486.372800E-06,+3.232286401093E+00,+3.189485821442E+00
+486.374400E-06,+3.232286401093E+00,+3.187939628959E+00
+486.376000E-06,+3.232286401093E+00,+3.187939628959E+00
+486.377600E-06,+3.232286401093E+00,+3.187939628959E+00
